Title,Year,Genre,IMDB Rating,Plot,Actors,Poster URL,link vid
Pandora,2016,"Action, Drama, Thriller",6.7,The explosion of a nuclear power plant caused by an earthquake leads to a disaster which no one other than its workers can stop from spreading further.,"Kim Nam-gil, Kim Joo-Hyun, Jung Jin-young",https://m.media-amazon.com/images/M/MV5BZjRkMjAxMjgtZTUwMC00MDI0LWI3YTYtYzVjZDFkMWQ1YTkyXkEyXkFqcGc@._V1_SX300.jpg,9jofVA1CLP8
Cosmic Sin,2021,"Action, Sci-Fi",2.5,Seven rogue soldiers launch a preemptive strike against a newly discovered alien civilization in the hopes of ending an interstellar war before it starts.,"Frank Grillo, Bruce Willis, Brandon Thomas Lee",https://m.media-amazon.com/images/M/MV5BODI4MTg1NDMtNTg2MC00MjQwLThjNDUtMzk3MjkyNjc5OGMyXkEyXkFqcGc@._V1_SX300.jpg,Yh_jxdv8NFs
Mohawk,2017,"Action, Drama, History",4.7,"Late in the War of 1812, a young Mohawk woman and her two lovers battle a squad of American soldiers hell-bent on revenge.","Kaniehtiio Horn, Ezra Buzzington, Eamon Farren",https://m.media-amazon.com/images/M/MV5BNGY1ODQwYWItZjE0MS00YTgyLWI0ZDctNWRjY2ZhOWQwOTM4XkEyXkFqcGc@._V1_SX300.jpg,KAjBvQ2Ow80
Gattaca,1997,"Drama, Sci-Fi, Thriller",7.7,"Vincent, an ""In-Valid"", assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect.","Ethan Hawke, Uma Thurman, Jude Law",https://m.media-amazon.com/images/M/MV5BZjQxNTc3YzQtZDA5ZC00MmM5LWE3NGYtMGE0Yjk3MDYwODVlXkEyXkFqcGc@._V1_SX300.jpg,yxOWJ6dGQDQ
Chappie,2015,"Action, Crime, Drama",6.8,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.","Sharlto Copley, Dev Patel, Hugh Jackman",https://m.media-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_SX300.jpg,VZQmj6bH5cY
Jurassic Triangle,2024,"Adventure, Horror, Sci-Fi",2.5,A group of colleagues crash land on a mysterious island that they cannot escape. They discover they are not alone when they encounter an array of blood thirsty creatures and dinosaurs out to get them. Will they survive the island?,"Chrissie Wunna, Sian Altman, Danielle Scott",https://m.media-amazon.com/images/M/MV5BN2Q5ZDRhZTgtNWVmNC00ZDIzLThlODktMDMwYmM1N2RhZDk1XkEyXkFqcGc@._V1_SX300.jpg,ozwywy1eeXs
Jailbreak,2017,"Action, Comedy",5.4,"What started as a simple escort mission will soon turn to chaos as the prisoners of Koh Kla take over the prison grounds. A special task force [Jean-Paul Ly, Dara Our, Tharoth Sam] gets trapped in the prison will have to fight the...","Celine Tran, Laurent Plancel, Tharoth Sam",https://m.media-amazon.com/images/M/MV5BOTU5ZjFlN2UtODQ5Mi00MGY0LWFhYjAtZjYxZTFlOWE1ZjI3XkEyXkFqcGc@._V1_SX300.jpg,_jDrjF7TyZQ
Jabberwock,2011,"Action, Adventure, Fantasy",3.4,"A brave knight returns to his homeland to find a powerful dragon terrorizing his village. After many unsuccessful attempts to defeat the monster, he makes a sword which has magical powers that should do the trick.","Tahmoh Penikett, Kacey Clarke, Raffaello Degruttola",https://m.media-amazon.com/images/M/MV5BMzA3MjUxYzYtOTA4Ny00OTA3LWJlZWUtMjEzY2UxZmEyMDk3XkEyXkFqcGc@._V1_SX300.jpg,4q2dd0Nc8sk
Almighty Zeus,2022,Action,5.8,"When an old Asian man is attacked and sprayed with hand sanitizer, a young boxer goes viral for knocking out the aggressor.","Vernardo Stroud, Michael D. Aguilar, Joey DaMauro",https://m.media-amazon.com/images/M/MV5BYTUzNzY4ZTYtOTNhZC00MmZjLWJjYWQtNWFhNWM4NzA3NWViXkEyXkFqcGc@._V1_SX300.jpg,Lhsg1DPp9No
Peace River,2022,Drama,5.5,"A Champion Rodeo cowboy and special forces soldier is crushed by war and personal loss and must draw on faith and the ""cowboy way"" to reclaim his will to live and the love of his life.","Chase Garland, Benjamin M. Jones, Jessica Nunez-Wood",https://m.media-amazon.com/images/M/MV5BMGQ2NTAxNGMtNGMzYS00ZTdhLWFjMjUtOWJiNzhkY2FlNjBiXkEyXkFqcGc@._V1_SX300.jpg,PAoxB1Yhv0I
Convict,2014,"Action, Crime, Drama",5.5,"Sent to prison because of manslaughter, Ray is challenged both physically and mentally by a sadistic prison boss.","George Basha, Richard Green, Brian Ellison",https://m.media-amazon.com/images/M/MV5BMTgwOTg3MTI4MF5BMl5BanBnXkFtZTcwMTMzMDI1OQ@@._V1_SX300.jpg,ySTdWAFPsNU
Yellow Flowers on the Green Grass,2015,Drama,7.4,"Set in the countryside village of Vietnam, Yellow Flowers on the Green grass is a touching tale of innocent love, friendships and brotherhood.","Thinh Vinh, Khang Trong, Lam Thanh My",https://m.media-amazon.com/images/M/MV5BMjM4NjY2MjgwMV5BMl5BanBnXkFtZTgwNDM4NDgwNzE@._V1_SX300.jpg,u2NeUbZXd4A
Just Another Dream,2021,"Action, Drama",3.7,"When a fateful injury sparks an ordinary girl to have foretelling dreams, she is forced into a race against time to save her family and prove her sanity....or is it JUST ANOTHER DREAM? Action/Drama.","Kristy Swanson, Dean Cain, Eugene Brave Rock",https://m.media-amazon.com/images/M/MV5BNjYzYzFlODUtY2ExNy00ZWE3LTg0ZTQtNGE4ZjA3NGIwOTY5XkEyXkFqcGc@._V1_SX300.jpg,IZs3R7VrY6Q
